Symbol
AAPL
MSFT
NVDA
AMZN
META
GOOGL
TSLA
BRK-B
JPM
AVGO
LLY
XOM
V
MA
COST
NFLX
AMD
PLTR
UNH
JNJ
ABBV
CRM
BAC
WMT
ORCL
CVX
HD
KO
PEP
ADBE
CSCO
MRK
TMO
ACN
MCD
ABT
LIN
NKE
DIS
INTC
IBM
GE
CAT
GS
NOW
QCOM
TXN
AMAT
UBER
PANW
